Statistic,Name,Team,#,Top 25
Complete Games,Michael Foltynewicz,Atlanta Braves,2,Top 25
Max Scherzer,Washington Nationals,2,,
Noah Syndergaard,New York Mets,2,,
Jameson Taillon,Pittsburgh Pirates,2,,
ERA,Jacob deGrom,New York Mets,1.70,Top 25
Games,Brad Ziegler,Miami Marlins,82,Top 25
Arizona Diamondbacks,,,,
Saves,Wade Davis,Colorado Rockies,43,Top 25
Shutouts,Patrick Corbin,Arizona Diamondbacks,1,Top 25
Michael Foltynewicz,Atlanta Braves,1,,
Miles Mikolas,St. Louis Cardinals,1,,
Max Scherzer,Washington Nationals,1,,
Chris Stratton,San Francisco Giants,1,,
Noah Syndergaard,New York Mets,1,,
Jameson Taillon,Pittsburgh Pirates,1,,
Trevor Williams,Pittsburgh Pirates,1,,
Strikeouts,Max Scherzer,Washington Nationals,300,Top 25
Winning Percentage,Miles Mikolas,St. Louis Cardinals,.818,Top 25
Wins,Jon Lester,Chicago Cubs,18,Top 25
Miles Mikolas,St. Louis Cardinals,18,,
Max Scherzer,Washington Nationals,18,,
2018 N.L. History | 2018 A.L. History | Year-by-Year History,,,,
