Statistic,Name,Team,#,Top 25
Complete Games,Max Fried,Atlanta,2,Top 25
Cristopher Sánchez,Philadelphia,2,,
ERA,Chris Sale,Atlanta,2.38,Top 25
Games,Tyler Rogers,San Francisco,77,Top 25
Saves,Ryan Helsley,St. Louis,49,Top 25
Shutouts,Dylan Cease,San Diego,1,Top 25
Max Fried,Atlanta,1,,
Braxton Garrett,Miami,1,,
Aaron Nola,Philadelphia,1,,
Tyler Phillips,Philadelphia,1,,
Luis Severino,New York,1,,
Blake Snell,San Francisco,1,,
Gavin Stone,Los Angeles,1,,
Ranger Suárez,Philadelphia,1,,
Cristopher Sánchez,Philadelphia,1,,
Logan Webb,San Francisco,1,,
Strikeouts,Chris Sale,Atlanta,225,Top 25
Winning Percentage,Chris Sale,Atlanta,.857,Top 25
Wins,Chris Sale,Atlanta,18,Top 25
2024 N.L. History | 2024 A.L. History | Year-by-Year History,,,,
