Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Philadelphia Phillies,102,60,0,.630,--,"$ 172,976,379"
Atlanta Braves,89,73,0,.549,13,"$87,002,692"
Washington Nationals,80,81,0,.497,21½,"$63,856,928"
New York Mets,77,85,0,.475,25,"$118,847,309"
Florida Marlins,72,90,0,.444,30,"$56,944,000"
Milwaukee Brewers,96,66,0,.593,--,"$85,497,333"
St. Louis Cardinals,90,72,0,.556,6,"$105,433,572"
Cincinnati Reds,79,83,0,.488,17,"$75,947,134"
Pittsburgh Pirates,72,90,0,.444,24,"$45,047,000"
Chicago Cubs,71,91,0,.438,25,"$125,047,329"
Houston Astros,56,106,0,.346,40,"$70,694,000"
Arizona Diamondbacks,94,68,0,.580,--,"$53,639,833"
San Francisco Giants,86,76,0,.531,8,"$118,198,333"
Los Angeles Dodgers,82,79,0,.509,11½,"$104,188,999"
Colorado Rockies,73,89,0,.451,21,"$88,148,071"
San Diego Padres,71,91,0,.438,23,"$45,869,140"
2011 National League Final Standings,,,,,,
"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard | Rookies List",,,,,,
