Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Atlanta Braves,96,66,0,.593,--,$
Washington Nationals,86,76,0,.531,10,$
New York Mets,74,88,0,.457,22,$
Philadelphia Phillies,73,89,0,.451,23,$
Miami Marlins,62,100,0,.383,34,$
St. Louis Cardinals,97,65,0,.599,--,$
Pittsburgh Pirates,94,68,0,.580,3,$
Cincinnati Reds,90,72,0,.556,7,$
Milwaukee Brewers,74,88,0,.457,23,$
Chicago Cubs,66,96,0,",407",31,$
Los Angeles Dodgers,92,70,0,.568,--,$
Arizona Diamondbacks,81,81,0,.500,11,$
San Diego Padres,76,86,0,.469,16,$
San Francisco Giants,76,86,0,.469,16,$
Colorado Rockies,74,88,0,.457,18,$
2013 National League Final Standings,,,,,,
"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard | Rookies List",,,,,,
